index,labels,comment_sentence,comment_clean,combo,combo_clean,f_length,f_word_count,f_starts_verb
10,"[0, 0, 1, 0, 0, 0]","a rope uses a balanced binary tree to support fast adding, removing and accessing, with the disadvantage of taking more memory.",rope us balanced binary tree support fast adding removing accessing disadvantage taking memory,"a rope uses a balanced binary tree to support fast adding, removing and accessing, with the disadvantage of taking more memory. | BlChildrenCollection",rope us balanced binary tree support fast adding removing accessing disadvantage taking memory | blchildrencollection,127,21,0
11,"[0, 0, 1, 0, 0, 0]",i capture a subset of children from a class blelement instance.,capture subset child class blelement instance,i capture a subset of children from a class blelement instance. | BlChildrenSubset,capture subset child class blelement instance | blchildrensubset,63,11,0
12,"[0, 0, 0, 1, 0, 0]",i am an abstract class.,abstract class,i am an abstract class. | BlChildrenSubset,abstract class | blchildrensubset,23,5,0
13,"[0, 0, 1, 0, 0, 0]",i exist to explicitly capture and combine various ways of filtering and iterating over children.,exist explicitly capture combine various way filtering iterating child,i exist to explicitly capture and combine various ways of filtering and iterating over children. | BlChildrenSubset,exist explicitly capture combine various way filtering iterating child | blchildrensubset,96,15,0
14,"[0, 0, 0, 0, 1, 0]",i do not enforce a lazy api.,enforce lazy api,i do not enforce a lazy api. | BlChildrenSubset,enforce lazy api | blchildrensubset,28,7,0
15,"[0, 0, 0, 0, 1, 0]",instances of me are created by calling the factory method method blchildrensubset class #on on a subclass with an instance of class blchildren as parameter.,instance created calling factory method method blchildrensubset class subclass instance class blchildren parameter,instances of me are created by calling the factory method method blchildrensubset class #on on a subclass with an instance of class blchildren as parameter. | BlChildrenSubset,instance created calling factory method method blchildrensubset class subclass instance class blchildren parameter | blchildrensubset,156,25,1
16,"[1, 0, 0, 0, 0, 0]",implementation details,implementation detail,implementation details | BlChildrenSubset,implementation detail | blchildrensubset,22,2,0
17,"[1, 0, 1, 0, 0, 0]",the click event is fired when a pointing device button a mouse s primary button is pressed and released on a single element.,click event fired pointing device button mouse primary button pressed released single element,the click event is fired when a pointing device button a mouse s primary button is pressed and released on a single element. | BlClickEvent,click event fired pointing device button mouse primary button pressed released single element | blclickevent,124,23,0
18,"[1, 0, 0, 0, 0, 0]",the order of fired events,order fired event,the order of fired events | BlClickEvent,order fired event | blclickevent,25,5,0
19,"[1, 0, 0, 0, 0, 0]",mouse up,mouse,mouse up | BlClickEvent,mouse | blclickevent,8,2,0
20,"[0, 0, 1, 0, 0, 0]",this class contains tests,class contains test,this class contains tests | BlCompulsoryCombinationTest,class contains test | blcompulsorycombinationtest,25,4,1
21,"[1, 0, 0, 0, 0, 0]",setting factor to 10f produces an upside down y x^2 parabola.,setting factor f produce upside x parabola,setting factor to 10f produces an upside down y x^2 parabola. | BlDecelerateInterpolator,setting factor f produce upside x parabola | bldecelerateinterpolator,61,11,1
22,"[1, 0, 0, 0, 0, 0]",my formula is,formula,my formula is | BlDecelerateInterpolator,formula | bldecelerateinterpolator,13,3,0
23,"[0, 1, 0, 0, 0, 0]",here you can see how to configure a fire and check a click event on a child element,see configure fire check click event child element,here you can see how to configure a fire and check a click event on a child element | BlDevScripterClickStep,see configure fire check click event child element | bldevscripterclickstep,83,18,0
24,"[0, 0, 1, 0, 0, 0]",drag delegate provides drag items when a visual element lifts.,drag delegate provides drag item visual element lift,drag delegate provides drag items when a visual element lifts. | BlDragDelegate,drag delegate provides drag item visual element lift | bldragdelegate,62,10,0
25,"[0, 0, 1, 0, 0, 0]",drag gesture fails if there are no drag items,drag gesture fails drag item,drag gesture fails if there are no drag items | BlDragDelegate,drag gesture fails drag item | bldragdelegate,45,9,0
26,"[0, 0, 1, 0, 0, 0]",i contain examples of element bounds api,contain example element bound api,i contain examples of element bounds api | BlElementBoundsExamples,contain example element bound api | blelementboundsexamples,40,7,0
27,"[0, 0, 1, 1, 0, 0]",i am dynamic element transformation in the sense that my transformation matrix may actually depend on some element properties such as #extent or #position.,dynamic element transformation sense transformation matrix may actually depend element property extent position,i am dynamic element transformation in the sense that my transformation matrix may actually depend on some element properties such as #extent or #position. | BlElementDynamicTransformation,dynamic element transformation sense transformation matrix may actually depend element property extent position | blelementdynamictransformation,155,24,0
28,"[1, 0, 0, 0, 0, 0]",it means that matrix computation is performed only when requested taking owner element into account.,mean matrix computation performed requested taking owner element account,it means that matrix computation is performed only when requested taking owner element into account. | BlElementDynamicTransformation,mean matrix computation performed requested taking owner element account | blelementdynamictransformation,100,15,0
29,"[0, 0, 0, 1, 0, 0]",i am the abstract root class for effects.,abstract root class effect,i am the abstract root class for effects. | BlElementEffect,abstract root class effect | blelementeffect,41,8,0
30,"[0, 0, 1, 0, 0, 0]",i define the default drawing strategy before & after .,define default drawing strategy,i define the default drawing strategy before & after . | BlElementEffect,define default drawing strategy | blelementeffect,54,10,0
31,"[0, 0, 1, 0, 0, 0]",i can influence the bounds of my owner used to clip my owner .,influence bound owner used clip owner,i can influence the bounds of my owner used to clip my owner . | BlElementEffect,influence bound owner used clip owner | blelementeffect,62,14,0
32,"[0, 0, 1, 0, 0, 0]",i contain examples of position change logging functionality,contain example position change logging functionality,i contain examples of position change logging functionality | BlElementPositionChangeTest,contain example position change logging functionality | blelementpositionchangetest,59,8,0
33,"[0, 0, 0, 0, 0, 1]",is sent by an element after it is removed from the parent.,sent element removed parent,is sent by an element after it is removed from the parent. | BlElementRemovedEvent,sent element removed parent | blelementremovedevent,58,12,1
34,"[0, 1, 0, 0, 0, 0]",child when blelementremovedevent do self inform removed from parent .,child blelementremovedevent self inform removed parent,child when blelementremovedevent do self inform removed from parent . | BlElementRemovedEvent,child blelementremovedevent self inform removed parent | blelementremovedevent,69,10,0
35,"[0, 1, 0, 0, 0, 0]",parent blelement new.,parent blelement new,parent blelement new. | BlElementRemovedEvent,parent blelement new | blelementremovedevent,21,3,0
36,"[0, 1, 0, 0, 0, 0]",parent addchild child.,parent addchild child,parent addchild child. | BlElementRemovedEvent,parent addchild child | blelementremovedevent,22,3,0
37,"[0, 0, 1, 1, 0, 0]",i am an example of a custom non element event target that can be nicely integrated in bloc infrastructure,example custom non element event target nicely integrated bloc infrastructure,i am an example of a custom non element event target that can be nicely integrated in bloc infrastructure | BlExampleCustomEventTarget,example custom non element event target nicely integrated bloc infrastructure | blexamplecustomeventtarget,105,19,0
38,"[0, 0, 1, 1, 0, 0]",i am an element with a broken onlayout method that throws error subscriptoutofbounds,element broken onlayout method throw error subscriptoutofbounds,i am an element with a broken onlayout method that throws error subscriptoutofbounds | BlExampleElementWithBrokenOnLayout,element broken onlayout method throw error subscriptoutofbounds | blexampleelementwithbrokenonlayout,84,13,0
39,"[0, 0, 1, 0, 0, 0]",i contain experimental examples that only work in manually prepared laboratory environments.,contain experimental example work manually prepared laboratory environment,i contain experimental examples that only work in manually prepared laboratory environments. | BlExperimentalExamples,contain experimental example work manually prepared laboratory environment | blexperimentalexamples,92,12,0
40,"[0, 1, 0, 0, 0, 0]",1 inspect run example,inspect run example,1 inspect run example | BlFocusExamples,inspect run example | blfocusexamples,21,4,0
41,"[0, 1, 0, 0, 0, 0]",2 click one any cell to give it a focus blue border should appear,click one cell give focus blue border appear,2 click one any cell to give it a focus blue border should appear | BlFocusExamples,click one cell give focus blue border appear | blfocusexamples,65,14,0
42,"[0, 0, 1, 0, 0, 1]",the geometry is used to define the geometry to be drawn and the interaction area.,geometry used define geometry drawn interaction area,the geometry is used to define the geometry to be drawn and the interaction area. | BlGeometry,geometry used define geometry drawn interaction area | blgeometry,81,15,0
43,"[0, 0, 1, 1, 0, 1]",i am an event listener that listens anchor moved event send by anchor,event listener listens anchor moved event send anchor,i am an event listener that listens anchor moved event send by anchor | BlGeometryAnchorListener,event listener listens anchor moved event send anchor | blgeometryanchorlistener,69,13,0
44,"[0, 0, 1, 0, 0, 0]",i am sent when anchor s position changed,sent anchor position changed,i am sent when anchor s position changed | BlGeometryAnchorMoved,sent anchor position changed | blgeometryanchormoved,40,8,0
45,"[0, 0, 1, 1, 0, 0]",i am a root class of geometry elements elements driven by geometry anchors.,root class geometry element element driven geometry anchor,i am a root class of geometry elements elements driven by geometry anchors. | BlGeometryElement,root class geometry element element driven geometry anchor | blgeometryelement,75,13,0
46,"[1, 0, 0, 0, 0, 0]",a grid consists of cells that are separated by invisible lines.,grid consists cell separated invisible line,a grid consists of cells that are separated by invisible lines. | BlGridLayout,grid consists cell separated invisible line | blgridlayout,63,11,0
47,"[1, 0, 0, 0, 0, 0]","indices lie in closed interval 1, n 1 .",index lie closed interval n,"indices lie in closed interval 1, n 1 . | BlGridLayout",index lie closed interval n | blgridlayout,39,9,1
48,"[1, 0, 0, 0, 0, 0]","grid layout supports fitcontent, matchparent and exact resizing mode of the owner.",grid layout support fitcontent matchparent exact resizing mode owner,"grid layout supports fitcontent, matchparent and exact resizing mode of the owner. | BlGridLayout",grid layout support fitcontent matchparent exact resizing mode owner | blgridlayout,82,12,0
49,"[1, 0, 0, 0, 0, 0]",children are allowed to have fitcontent and exact resizing modes.,child allowed fitcontent exact resizing mode,children are allowed to have fitcontent and exact resizing modes. | BlGridLayout,child allowed fitcontent exact resizing mode | blgridlayout,65,10,0
50,"[1, 0, 0, 0, 0, 0]",because child s matchparent does not make sense in case of grid users should use #fill to declare that child should take all available cell s space.,child matchparent make sense case grid user use fill declare child take available cell space,because child s matchparent does not make sense in case of grid users should use #fill to declare that child should take all available cell s space. | BlGridLayout,child matchparent make sense case grid user use fill declare child take available cell space | blgridlayout,148,27,0
51,"[1, 0, 0, 0, 0, 0]",user can specify amount of columns or rows by sending columncount or rowcount to an instance of grid layout.,user specify amount column row sending columncount rowcount instance grid layout,user can specify amount of columns or rows by sending columncount or rowcount to an instance of grid layout. | BlGridLayout,user specify amount column row sending columncount rowcount instance grid layout | blgridlayout,108,19,0
52,"[0, 0, 0, 0, 1, 0]",public api and key messages,public api key message,public api and key messages | BlGridLayout,public api key message | blgridlayout,27,5,0
53,"[0, 0, 0, 0, 1, 0]","alignmargins bounds of each element are extended outwards, according to their margins, before the edges of the resulting rectangle are aligned.",alignmargins bound element extended outwards according margin edge resulting rectangle aligned,"alignmargins bounds of each element are extended outwards, according to their margins, before the edges of the resulting rectangle are aligned. | BlGridLayout",alignmargins bound element extended outwards according margin edge resulting rectangle aligned | blgridlayout,143,21,1
54,"[1, 0, 0, 0, 0, 0]",internal representation and key implementation points.,internal representation key implementation point,internal representation and key implementation points. | BlGridLayout,internal representation key implementation point | blgridlayout,54,6,0
55,"[0, 0, 1, 1, 0, 0]",i am a fallback host that is chosen if there are no other available and supported hosts.,fallback host chosen available supported host,i am a fallback host that is chosen if there are no other available and supported hosts. | BlHeadlessHost,fallback host chosen available supported host | blheadlesshost,88,17,0
56,"[0, 0, 0, 1, 0, 0]",i am the bloc main loop.,bloc main loop,i am the bloc main loop. | BlHostPulseLoop,bloc main loop | blhostpulseloop,24,6,0
57,"[1, 0, 0, 0, 0, 0]",this may be delayed if there are background processes wanting to run to ensure that background calculation of ui elements can complete .,may delayed background process wanting run ensure background calculation ui element complete,this may be delayed if there are background processes wanting to run to ensure that background calculation of ui elements can complete . | BlHostPulseLoop,may delayed background process wanting run ensure background calculation ui element complete | blhostpulseloop,136,23,1
58,"[0, 0, 0, 1, 0, 0]",i am a type of data source update command.,type data source update command,i am a type of data source update command. | BlInfiniteDataSourceCommandType,type data source update command | blinfinitedatasourcecommandtype,42,9,0
59,"[1, 0, 0, 0, 0, 0]",i suppose to be stateless and therefore immutable.,suppose stateless therefore immutable,i suppose to be stateless and therefore immutable. | BlInfiniteDataSourceCommandType,suppose stateless therefore immutable | blinfinitedatasourcecommandtype,50,8,0
60,"[0, 0, 0, 0, 0, 1]",sent by,sent,sent by | BlInfiniteDataSourceItemRangeMoved,sent | blinfinitedatasourceitemrangemoved,7,2,0
61,"[0, 1, 0, 0, 0, 0]","do event self inform item was moved from , event from asstring, to , event to asstring",event self inform item moved event asstring event asstring,"do event self inform item was moved from , event from asstring, to , event to asstring | BlInfiniteDataSourceItemRangeMoved",event self inform item moved event asstring event asstring | blinfinitedatasourceitemrangemoved,86,17,0
62,"[0, 0, 0, 1, 0, 1]",i am a data source of the collection of all classes in the image,data source collection class image,i am a data source of the collection of all classes in the image | BlInfiniteExampleClassesDataSource,data source collection class image | blinfiniteexampleclassesdatasource,64,14,0
63,"[0, 0, 1, 0, 0, 0]","i can be used, for example, to delay an action in a data set until currently running animations are complete.",used example delay action data set currently running animation complete,"i can be used, for example, to delay an action in a data set until currently running animations are complete. | BlInfiniteItemAnimationsFinished",used example delay action data set currently running animation complete | blinfiniteitemanimationsfinished,109,20,0
64,"[0, 0, 1, 0, 0, 1]",i am attached to a bloc element and define the visual structure of that bloc element.,attached bloc element define visual structure bloc element,i am attached to a bloc element and define the visual structure of that bloc element. | BlLayout,attached bloc element define visual structure bloc element | bllayout,85,16,0
65,"[1, 0, 0, 0, 0, 0]",layout constraints,layout constraint,layout constraints | BlLayout,layout constraint | bllayout,18,2,0
66,"[1, 0, 0, 0, 0, 0]",i support a set of attributes refered to as constraints in bloc which define the visual properties of the layout.,support set attribute refered constraint bloc define visual property layout,i support a set of attributes refered to as constraints in bloc which define the visual properties of the layout. | BlLayout,support set attribute refered constraint bloc define visual property layout | bllayout,113,20,0
67,"[1, 0, 0, 0, 0, 0]","each layout has a dedicated constraint objects, instance of class bllayoutcommonconstraints , that contain these common constraints.",layout dedicated constraint object instance class bllayoutcommonconstraints contain common constraint,"each layout has a dedicated constraint objects, instance of class bllayoutcommonconstraints , that contain these common constraints. | BlLayout",layout dedicated constraint object instance class bllayoutcommonconstraints contain common constraint | bllayout,132,17,0
68,"[1, 0, 0, 0, 0, 0]",each type of layout can further define its own specific constraints by creating a subclass of class bllayoutconstraints .,type layout define specific constraint creating subclass class bllayoutconstraints,each type of layout can further define its own specific constraints by creating a subclass of class bllayoutconstraints . | BlLayout,type layout define specific constraint creating subclass class bllayoutconstraints | bllayout,121,19,0
69,"[1, 0, 0, 0, 0, 0]",layout phase in a frame,layout phase frame,layout phase in a frame | BlLayout,layout phase frame | bllayout,23,5,0
70,"[1, 0, 0, 0, 0, 0]",layouting of elements is a phase executed by a space during every frame.,layouting element phase executed space every frame,layouting of elements is a phase executed by a space during every frame. | BlLayout,layouting element phase executed space every frame | bllayout,72,13,0
71,"[1, 0, 0, 0, 0, 0]","every frame, the space goes through several phases method blspaceframe #initializephases .",every frame space go several phase method blspaceframe initializephases,"every frame, the space goes through several phases method blspaceframe #initializephases . | BlLayout",every frame space go several phase method blspaceframe initializephases | bllayout,90,12,0
72,"[1, 0, 0, 0, 0, 0]",phases are modeled as subclasses of class blspaceframephase and are executed once per frame.,phase modeled subclass class blspaceframephase executed per frame,phases are modeled as subclasses of class blspaceframephase and are executed once per frame. | BlLayout,phase modeled subclass class blspaceframephase executed per frame | bllayout,92,14,1
73,"[1, 0, 0, 0, 0, 0]","one of them, class blspaceframelayoutphase , consists in layouting the elements contained in the space.",one class blspaceframelayoutphase consists layouting element contained space,"one of them, class blspaceframelayoutphase , consists in layouting the elements contained in the space. | BlLayout",one class blspaceframelayoutphase consists layouting element contained space | bllayout,103,15,0
74,"[1, 0, 0, 0, 0, 0]","this is done after events and tasks have been executed, but before the drawing phase.",done event task executed drawing phase,"this is done after events and tasks have been executed, but before the drawing phase. | BlLayout",done event task executed drawing phase | bllayout,85,15,1
75,"[1, 0, 0, 0, 0, 0]","layouting should to be executed during a frame when various properties like, width, height or position change in any element contained by the space.",layouting executed frame various property like width height position change element contained space,"layouting should to be executed during a frame when various properties like, width, height or position change in any element contained by the space. | BlLayout",layouting executed frame various property like width height position change element contained space | bllayout,148,24,0
76,"[1, 0, 0, 0, 0, 0]","however, an important aspect in bloc, is that when one of these properties changes, layouting is not performed immediately.",however important aspect bloc one property change layouting performed immediately,"however, an important aspect in bloc, is that when one of these properties changes, layouting is not performed immediately. | BlLayout",however important aspect bloc one property change layouting performed immediately | bllayout,123,19,0
77,"[1, 0, 0, 0, 0, 0]","instead, a layout request is issued by the element whose property changed using the message method blelement #requestlayout .",instead layout request issued element whose property changed using message method blelement requestlayout,"instead, a layout request is issued by the element whose property changed using the message method blelement #requestlayout . | BlLayout",instead layout request issued element whose property changed using message method blelement requestlayout | bllayout,125,19,0
78,"[1, 0, 0, 0, 0, 0]","this has the advantage that if no element request layout, this phase can be skipped.",advantage element request layout phase skipped,"this has the advantage that if no element request layout, this phase can be skipped. | BlLayout",advantage element request layout phase skipped | bllayout,84,15,1
79,"[1, 0, 0, 1, 0, 0]","hence, in bloc layout is not executed immediately after a property like the width of an element changes.",hence bloc layout executed immediately property like width element change,"hence, in bloc layout is not executed immediately after a property like the width of an element changes. | BlLayout",hence bloc layout executed immediately property like width element change | bllayout,104,18,0
80,"[1, 0, 0, 0, 0, 0]","that can be done using the messafe method blelement #forcelayout this should not be used outside of tests, as it bypasses the normal layouting system from bloc.",done using messafe method blelement forcelayout used outside test bypass normal layouting system bloc,"that can be done using the messafe method blelement #forcelayout this should not be used outside of tests, as it bypasses the normal layouting system from bloc. | BlLayout",done using messafe method blelement forcelayout used outside test bypass normal layouting system bloc | bllayout,160,27,0
81,"[1, 0, 0, 0, 0, 0]","however, often elements need to reach and perform actions, when for example their position or extent changes.",however often element need reach perform action example position extent change,"however, often elements need to reach and perform actions, when for example their position or extent changes. | BlLayout",however often element need reach perform action example position extent change | bllayout,109,17,0
82,"[1, 0, 0, 0, 0, 0]",they can react by requesting another layout.,react requesting another layout,they can react by requesting another layout. | BlLayout,react requesting another layout | bllayout,44,7,0
83,"[1, 0, 0, 0, 0, 0]",a tipical example is deadling with edges.,tipical example deadling edge,a tipical example is deadling with edges. | BlLayout,tipical example deadling edge | bllayout,41,7,0
84,"[1, 0, 0, 0, 0, 0]",an edge can be layouted only after the position of the elements that it connects is known.,edge layouted position element connects known,an edge can be layouted only after the position of the elements that it connects is known. | BlLayout,edge layouted position element connects known | bllayout,90,17,0
85,"[1, 0, 0, 0, 0, 0]","the space only allows layout requests during the layouting phase a limited number of times method blspace #computelayout to avoid blocking rendering due to infinite recursions caused by layout requests, or void spending too much time on layouts in a frame.",space allows layout request layouting phase limited number time method blspace computelayout avoid blocking rendering due infinite recursion caused layout request void spending much time layout frame,"the space only allows layout requests during the layouting phase a limited number of times method blspace #computelayout to avoid blocking rendering due to infinite recursions caused by layout requests, or void spending too much time on layouts in a frame. | BlLayout",space allows layout request layouting phase limited number time method blspace computelayout avoid blocking rendering due infinite recursion caused layout request void spending much time layout frame | bllayout,256,41,0
86,"[1, 0, 0, 0, 0, 0]",performing a layout,performing layout,performing a layout | BlLayout,performing layout | bllayout,19,3,0
87,"[1, 0, 0, 0, 0, 0]",performing the layout on an element consists in executing three main steps,performing layout element consists executing three main step,performing the layout on an element consists in executing three main steps | BlLayout,performing layout element consists executing three main step | bllayout,74,12,0
88,"[1, 0, 0, 0, 0, 0]",this is the first step when performing a layout on an element and consists in determening the measured bounds of that element.,first step performing layout element consists determening measured bound element,this is the first step when performing a layout on an element and consists in determening the measured bounds of that element. | BlLayout,first step performing layout element consists determening measured bound element | bllayout,126,22,1
89,"[1, 0, 0, 0, 0, 0]",by default class blelement delegates the measuring to its layout.,default class blelement delegate measuring layout,by default class blelement delegates the measuring to its layout. | BlLayout,default class blelement delegate measuring layout | bllayout,65,10,0
90,"[1, 0, 0, 0, 0, 0]",layouts should override method bllayout #measure with to implement the actual measuring.,layout override method bllayout measure implement actual measuring,layouts should override method bllayout #measure with to implement the actual measuring. | BlLayout,layout override method bllayout measure implement actual measuring | bllayout,88,12,1
91,"[1, 0, 0, 0, 0, 0]",normally layouts follow a top to bottom approach they measure the current element and then asks its children to do the measuring.,normally layout follow top bottom approach measure current element asks child measuring,normally layouts follow a top to bottom approach they measure the current element and then asks its children to do the measuring. | BlLayout,normally layout follow top bottom approach measure current element asks child measuring | bllayout,129,22,0
92,"[1, 0, 0, 0, 0, 0]",each element has real bounds blelement #bounds and measured bounds blelement #measuredbounds .,element real bound blelement bound measured bound blelement measuredbounds,each element has real bounds blelement #bounds and measured bounds blelement #measuredbounds . | BlLayout,element real bound blelement bound measured bound blelement measuredbounds | bllayout,94,13,0
93,"[1, 0, 0, 0, 0, 0]",the real bounds contain the actual position and extent of an element that users of that element should rely on.,real bound contain actual position extent element user element rely,the real bounds contain the actual position and extent of an element that users of that element should rely on. | BlLayout,real bound contain actual position extent element user element rely | bllayout,111,20,0
94,"[1, 0, 0, 0, 0, 0]",the measured bounds are used during layouting to hold the new extent of an element.,measured bound used layouting hold new extent element,the measured bounds are used during layouting to hold the new extent of an element. | BlLayout,measured bound used layouting hold new extent element | bllayout,83,15,0
95,"[1, 0, 0, 0, 0, 0]",the measuring phase changes only the extent in the measured bounds.,measuring phase change extent measured bound,the measuring phase changes only the extent in the measured bounds. | BlLayout,measuring phase change extent measured bound | bllayout,67,11,0
96,"[1, 0, 0, 0, 0, 0]",the measured bounds act like a temporary cache for the new bounds of an element.,measured bound act like temporary cache new bound element,the measured bounds act like a temporary cache for the new bounds of an element. | BlLayout,measured bound act like temporary cache new bound element | bllayout,80,15,0
97,"[1, 0, 0, 0, 0, 0]",they were introduced to avoid changing the real extent of element while layouting of children is still being performed.,introduced avoid changing real extent element layouting child still performed,they were introduced to avoid changing the real extent of element while layouting of children is still being performed. | BlLayout,introduced avoid changing real extent element layouting child still performed | bllayout,119,19,0
98,"[1, 0, 0, 0, 0, 0]",applying the layout,applying layout,applying the layout | BlLayout,applying layout | bllayout,19,3,0
99,"[1, 0, 0, 0, 0, 0]","space starts the measurement process from the root element after measurement it tell children to measure themselves, etc",space start measurement process root element measurement tell child measure etc,"space starts the measurement process from the root element after measurement it tell children to measure themselves, etc | BlLayout",space start measurement process root element measurement tell child measure etc | bllayout,120,18,0
100,"[1, 0, 0, 0, 0, 0]",measurement top to bottom though all the composition of elements.,measurement top bottom though composition element,measurement top to bottom though all the composition of elements. | BlLayout,measurement top bottom though composition element | bllayout,65,10,0
101,"[1, 0, 0, 0, 0, 0]",this step find the size of an element and sets measuredextent or position sometimes,step find size element set measuredextent position sometimes,this step find the size of an element and sets measuredextent or position sometimes | BlLayout,step find size element set measuredextent position sometimes | bllayout,83,14,1
102,"[1, 0, 0, 0, 0, 0]",space starts the layout step,space start layout step,space starts the layout step | BlLayout,space start layout step | bllayout,28,5,0
103,"[1, 0, 0, 0, 0, 0]",as we know the size of each child we compute the actual position for each child,know size child compute actual position child,as we know the size of each child we compute the actual position for each child | BlLayout,know size child compute actual position child | bllayout,79,16,1
104,"[1, 0, 0, 0, 0, 0]",elements announce events for position and extent changed,element announce event position extent changed,elements announce events for position and extent changed | BlLayout,element announce event position extent changed | bllayout,56,8,1
105,"[1, 0, 0, 0, 0, 0]",without event handlers the layout process is going to happen only once.,without event handler layout process going happen,without event handlers the layout process is going to happen only once. | BlLayout,without event handler layout process going happen | bllayout,71,12,0
106,"[1, 0, 0, 0, 0, 0]",for example when nodes change the position edges should be updated.,example node change position edge updated,for example when nodes change the position edges should be updated. | BlLayout,example node change position edge updated | bllayout,67,11,0
107,"[1, 0, 0, 0, 0, 0]",layout events,layout event,layout events | BlLayout,layout event | bllayout,13,2,0
108,"[1, 0, 0, 0, 1, 0]",i define an api of a layout.,define api layout,i define an api of a layout. | BlLayout,define api layout | bllayout,28,7,0
109,"[1, 0, 0, 0, 1, 0]",concrete implementations should focus on measure with and layout in,concrete implementation focus measure layout,concrete implementations should focus on measure with and layout in | BlLayout,concrete implementation focus measure layout | bllayout,67,10,0
110,"[1, 0, 0, 0, 0, 0]",my components are named according to mathematical convention,component named according mathematical convention,my components are named according to mathematical convention | BlMatrix2D,component named according mathematical convention | blmatrix,60,8,0
111,"[1, 0, 0, 0, 0, 0]",a21 a22 shx sy,shx sy,a21 a22 shx sy | BlMatrix2D,shx sy | blmatrix,14,4,0
112,"[1, 0, 0, 0, 0, 0]",for example in case of 2d matrix they are,example case matrix,for example in case of 2d matrix they are | BlMatrixDecomposition,example case matrix | blmatrixdecomposition,41,9,0
113,"[1, 0, 0, 0, 0, 0]",top left 2x2 minor of original matrix,top left x minor original matrix,top left 2x2 minor of original matrix | BlMatrixDecomposition,top left x minor original matrix | blmatrixdecomposition,37,7,0
114,"[0, 0, 0, 1, 0, 0]",i am an affine transformation that is directly defined by transformation matrix,affine transformation directly defined transformation matrix,i am an affine transformation that is directly defined by transformation matrix | BlMatrixTransformation,affine transformation directly defined transformation matrix | blmatrixtransformation,79,12,0
115,"[0, 0, 0, 1, 0, 0]",i represent a concrete implementation of unspecified measurement mode.,represent concrete implementation unspecified measurement mode,i represent a concrete implementation of unspecified measurement mode. | BlMeasurementUnspecifiedMode,represent concrete implementation unspecified measurement mode | blmeasurementunspecifiedmode,70,9,0
116,"[0, 0, 0, 1, 0, 0]",i am a host space created by blmorphichost.,host space created blmorphichost,i am a host space created by blmorphichost. | BlMorphicHostSpace,host space created blmorphichost | blmorphichostspace,43,8,0
117,"[0, 0, 0, 1, 0, 0]",i am a middle mouse button.,middle mouse button,i am a middle mouse button. | BlMouseMiddleButton,middle mouse button | blmousemiddlebutton,27,6,0
